,Hippocampus,Lateral-Ventricles,Amygdala,Putamen,Caudate,version
mean-vol,8522.69875,13563.502499999999,3424.332499999999,9855.9875,6863.8049999999985,fs61aseg
total-cov,2.05348665877435,2.0818743548402487,3.230994747703501,1.8951177815858944,1.7063454745330495,fs61aseg
session-cov,2.2581236063566457,0.9029393108184467,3.159072708621148,2.1359719033019062,1.5570380785958338,fs61aseg
abs-diff-cov,0.20463694758229556,1.178935044021802,0.07192203908235273,0.24085412171601184,0.14930739593721576,fs61aseg
p-vals,0.2163,0.0,0.7949,0.1608,0.2848,fs61aseg
mean-vol,8590.835000000003,13670.434999999994,3510.1775000000007,9883.4525,6867.2837500000005,fs71aseg
total-cov,1.6701974783922113,1.91005887757603,3.0135689721400962,1.4298333975197217,1.9965756161652704,fs71aseg
session-cov,1.7497868236809222,0.7280717052269471,3.2559423245207912,1.4968642678922073,1.644559011935713,fs71aseg
abs-diff-cov,0.07958934528871087,1.181987172349083,0.24237335238069502,0.06703087037248556,0.3520166042295574,fs71aseg
p-vals,0.579,0.0,0.3178,0.5553,0.0235,fs71aseg
mean-vol,10770.7323955125,23208.657476712502,3779.8904939125,13517.240479700002,8726.351489725002,fs71samseg
total-cov,1.3895300472959178,1.672704257287009,1.5565682283191382,8.808640038722661,2.079049622459116,fs71samseg
session-cov,1.0693010315312415,1.4061571184749864,1.6753072360759518,9.338201603530736,2.004842342088568,fs71samseg
abs-diff-cov,0.32022901576467633,0.26654713881202263,0.11873900775681356,0.5295615648080751,0.07420728037054802,fs71samseg
p-vals,0.0026,0.028,0.3131,0.4576,0.7032,fs71samseg
mean-vol,8660.34375,15643.992500000002,3290.566249999999,11229.76125,7051.126250000001,rethinq_rc11
total-cov,0.7327121437254721,1.428306190986515,1.2138119844122595,1.1030159136844921,0.9288346545477408,rethinq_rc11
session-cov,0.7547151282777401,0.9504134017730718,1.2167374587893376,0.9799111472454799,0.7899034334231995,rethinq_rc11
abs-diff-cov,0.022002984552268012,0.47789278921344314,0.00292547437707813,0.12310476643901225,0.13893122112454137,rethinq_rc11
p-vals,0.6942,0.0,0.9772,0.1624,0.0499,rethinq_rc11
mean-vol,9355.625,17344.8375,3414.0125,11434.6,7083.5875,rethinq_rc11_samseg6only
total-cov,0.7809723408704488,1.4501226219308143,1.155101139539156,1.0680603473845227,1.1060905961546188,rethinq_rc11_samseg6only
session-cov,0.8270458902394854,1.1775337491067615,1.1564474105289577,1.027789472457989,0.9426544436261419,rethinq_rc11_samseg6only
abs-diff-cov,0.046073549369036626,0.27258887282405286,0.0013462709898017788,0.040270874926533695,0.16343615252847687,rethinq_rc11_samseg6only
p-vals,0.4611,0.0151,0.9878,0.6301,0.0575,rethinq_rc11_samseg6only
mean-vol,8627.191250000005,15596.686249999993,3293.1137500000004,11224.871250000006,7009.9275000000025,rethinq_a30d4ca
total-cov,0.7546078694638387,1.434468484361447,1.1612938401896098,1.1525168289894774,1.0636101476105153,rethinq_a30d4ca
session-cov,0.7501601677492562,0.9279648191427112,1.1421076001744193,1.0369970778897093,0.8790611809775377,rethinq_a30d4ca
abs-diff-cov,0.00444770171458253,0.5065036652187358,0.019186240015190537,0.11551975109976809,0.1845489666329776,rethinq_a30d4ca
p-vals,0.9374,0.0,0.8343,0.2425,0.0238,rethinq_a30d4ca
mean-vol,9312.0,17266.9125,3415.975,11579.1375,7023.5875,rethinq_a30d4ca_samseg7only
total-cov,0.8078604381128048,1.454232168883229,1.1450454677923365,1.005290460213492,1.264741310793918,rethinq_a30d4ca_samseg7only
session-cov,0.8460876995506056,1.142637486215212,1.1478735018135442,0.9120688579735605,1.052177270513231,rethinq_a30d4ca_samseg7only
abs-diff-cov,0.03822726143780075,0.31159468266801693,0.0028280340212076815,0.09322160223993148,0.21256404028068698,rethinq_a30d4ca_samseg7only
p-vals,0.5533,0.0062,0.9752,0.2457,0.0247,rethinq_a30d4ca_samseg7only
